"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,291,"4656 4671",1,0.027510280999999998,5
"g1",16,292,"4672 4687",4,0.029411189,9
"g1",16,293,"4688 4703",1,0.027611605999999997,9
"g1",16,294,"4704 4719",0,0.02601585,12
"g1",16,295,"4720 4735",3,0.028826509,0
"g1",16,296,"4736 4751",2,0.030598049,9
"g1",16,297,"4752 4767",3,0.030667162999999997,8
"g1",16,298,"4768 4783",1,0.02922624,11
"g1",16,299,"4784 4799",3,0.029986919,0
"g1",16,300,"4800 4815",4,0.027115234999999998,9
"g1",16,301,"4816 4831",1,0.032055441999999996,7
"g1",16,302,"4832 4847",1,0.028081146,8
"g1",16,303,"4848 4863",2,0.028901630999999997,8
"g1",16,304,"4864 4879",3,0.03080991,6
"g1",16,305,"4880 4895",5,0.028710902,9
"g1",16,306,"4896 4911",1,0.027479637,0
"g1",16,307,"4912 4927",1,0.027166092,8
"g1",16,308,"4928 4943",3,0.028775752,-2
"g1",16,309,"4944 4959",3,0.026999634,2
"g1",16,310,"4960 4975",0,0.0269503,6
"g1",16,311,"4976 4991","",""
"g1",16,312,"4992 5007",3,0.04828826,18
"g1",16,313,"5008 5023",0,0.028689858999999998,29
"g1",16,314,"5024 5039",3,0.032784571,21
"g1",16,315,"5040 5055",1,0.03371291999999999,25
"g1",16,316,"5056 5071",6,0.030362711,16
"g1",16,317,"5072 5087",3,0.031901869,21
"g1",16,318,"5088 5103",2,0.029757673000000002,7
"g1",16,319,"5104 5119",2,0.028274774,4
"g1",16,320,"5120 5135",1,0.032687299,25
"g1",16,321,"5136 5151",2,0.029847531,19
"g1",16,322,"5152 5167",3,0.029099798,11
"g1",16,323,"5168 5183",2,0.026346186,5
"g1",16,324,"5184 5199",1,0.028394736,7
"g1",16,325,"5200 5215",3,0.031317469,10
"g1",16,326,"5216 5231",2,0.032986528,5
"g1",16,327,"5232 5247",3,0.029310784000000003,6
"g1",16,328,"5248 5263",1,0.030058969,9
"g1",16,329,"5264 5279",3,0.029517044,11
"g1",16,330,"5280 5295",3,0.032618563,6
"g1",16,331,"5296 5311",1,0.030159308,3
"g1",16,332,"5312 5327",6,0.032895527,7
"g1",16,333,"5328 5343",3,0.031938489,8
"g1",16,334,"5344 5359",2,0.029447357,6
"g1",16,335,"5360 5375",1,0.030841534,9
"g1",16,336,"5376 5391",1,0.02915646,5
"g1",16,337,"5392 5407",5,0.030347693,10
"g1",16,338,"5408 5423",2,0.031779816,8
"g1",16,339,"5424 5439",1,0.029770003,11
"g1",16,340,"5440 5455",3,0.028774999000000002,9
"g1",16,341,"5456 5471",4,0.028390936,1
"g1",16,342,"5472 5487",2,0.031947275000000004,0
"g1",16,343,"5488 5503",4,0.033456993,7
"g1",16,344,"5504 5519",1,0.028069502,5
"g1",16,345,"5520 5535",2,0.031178954999999998,1
