"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,331,"5296 5311",2,0.27810237,-35
"g1",16,332,"5312 5327",0,0.168798846,8
"g1",16,333,"5328 5343",8,0.364006326,29
"g1",16,334,"5344 5359",2,0.290307624,5
"g1",16,335,"5360 5375",0,0.186020671,8
"g1",16,336,"5376 5391",2,0.270211364,-5
"g1",16,337,"5392 5407",2,0.244069173,0
"g1",16,338,"5408 5423",9,0.502316759,24
"g1",16,339,"5424 5439",14,0.351057772,38
"g1",16,340,"5440 5455",0,0.165356495,-6
"g1",16,341,"5456 5471",4,0.283351149,-3
"g1",16,342,"5472 5487",0,0.19876321200000002,-4
"g1",16,343,"5488 5503",4,0.308003619,36
"g1",16,344,"5504 5519",11,0.34848222700000003,-9
"g1",16,345,"5520 5535",2,0.297529497,34
"g1",16,346,"5536 5551",3,0.270538208,12
"g1",16,347,"5552 5567",5,0.241213924,18
"g1",16,348,"5568 5583",6,0.289745377,-6
"g1",16,349,"5584 5599",1,0.279182176,-15
"g1",16,350,"5600 5615",3,0.295487342,42
"g1",16,351,"5616 5631",0,0.17939869100000003,-6
"g1",16,352,"5632 5647",8,0.242782545,4
"g1",16,353,"5648 5663",3,0.356925846,17
"g1",16,354,"5664 5679",6,0.490504278,-2
"g1",16,355,"5680 5695",6,0.310459219,20
"g1",16,356,"5696 5711",3,0.245754454,-18
"g1",16,357,"5712 5727",0,0.152945187,5
"g1",16,358,"5728 5743",8,0.252677294,-14
"g1",16,359,"5744 5759",7,0.40771624500000003,31
"g1",16,360,"5760 5775",3,0.277796156,-11
"g1",16,361,"5776 5791",0,0.220180837,-24
"g1",16,362,"5792 5807",14,0.405880473,33
"g1",16,363,"5808 5823",12,0.37327225700000005,6
"g1",16,364,"5824 5839",1,0.264703647,-5
"g1",16,365,"5840 5855",4,0.277277176,12
"g1",16,366,"5856 5871",0,0.15377385000000002,18
"g1",16,367,"5872 5887",0,0.18117498399999998,-2
"g1",16,368,"5888 5903",0,0.16936614,-6
"g1",16,369,"5904 5919",0,0.182186016,16
"g1",16,370,"5920 5935",6,0.264767409,31
"g1",16,371,"5936 5951",6,0.256347314,24
"g1",16,372,"5952 5967",0,0.25024607800000004,-28
"g1",16,373,"5968 5983",0,0.159799021,-3
"g1",16,374,"5984 5999",0,0.18388461,0
"g1",16,375,"6000 6015",5,0.296055071,34
"g1",16,376,"6016 6031",15,0.587258134,28
"g1",16,377,"6032 6047",4,0.27796041000000005,4
"g1",16,378,"6048 6063",93,1.063684782,2
"g1",16,379,"6064 6079",7,0.29313166,12
"g1",16,380,"6080 6095",4,0.410110338,15
"g1",16,381,"6096 6111",0,0.14261009200000002,-22
"g1",16,382,"6112 6127",2,0.284809925,23
"g1",16,383,"6128 6143",9,0.388310924,13
"g1",16,384,"6144 6159",1,0.279968094,18
"g1",16,385,"6160 6175",3,0.440747095,-5
"g1",16,386,"6176 6191",0,0.161946797,9
"g1",16,387,"6192 6207",9,0.45453357899999997,-36
"g1",16,388,"6208 6223",0,0.210074475,23
"g1",16,389,"6224 6239",2,0.27700359300000005,7
"g1",16,390,"6240 6255",4,0.299354381,39
"g1",16,391,"6256 6271",2,0.260512007,6
"g1",16,392,"6272 6287",7,0.253901348,-2
"g1",16,393,"6288 6303",0,0.184007026,-25
"g1",16,394,"6304 6319",2,0.23754257899999998,-8
"g1",16,395,"6320 6335",31,0.698663887,-7
"g1",16,396,"6336 6351",2,0.336123321,14
"g1",16,397,"6352 6367",13,0.41964154200000003,-1
"g1",16,398,"6368 6383",2,0.475153467,4
"g1",16,399,"6384 6399",45,0.5492162970000001,42
"g1",16,400,"6400 6415",9,0.39211113000000003,4
"g1",16,401,"6416 6431",41,0.356646726,28
"g1",16,402,"6432 6447",0,0.192519685,-50
"g1",16,403,"6448 6463","",""
"g1",16,404,"6464 6479",24,0.767898858,14
"g1",16,405,"6480 6495",9,0.336136328,4
"g1",16,406,"6496 6511",8,0.332744119,21
"g1",16,407,"6512 6527",8,0.342631642,7
"g1",16,408,"6528 6543",6,0.23706512100000002,8
"g1",16,409,"6544 6559",8,0.5094239580000001,-6
"g1",16,410,"6560 6575",1,0.249495934,-1
"g1",16,411,"6576 6591",4,0.297530421,-7
"g1",16,412,"6592 6607",2,0.244855897,16
"g1",16,413,"6608 6623",5,0.27672438699999996,2
"g1",16,414,"6624 6639",34,0.68728378,-25
"g1",16,415,"6640 6655",24,0.470460675,-7
"g1",16,416,"6656 6671",5,0.408198867,9
"g1",16,417,"6672 6687",0,0.172011888,17
"g1",16,418,"6688 6703",10,0.485295864,28
"g1",16,419,"6704 6719",2,0.30071062,-25
"g1",16,420,"6720 6735",99,0.831100754,38
"g1",16,421,"6736 6751",10,0.349782736,15
"g1",16,422,"6752 6767",0,0.187909194,3
"g1",16,423,"6768 6783",23,0.316252997,-2
"g1",16,424,"6784 6799",7,0.26549983,0
"g1",16,425,"6800 6815",0,0.19129816,10
"g1",16,426,"6816 6831",11,0.624894617,3
"g1",16,427,"6832 6847",103,0.97709029,20
"g1",16,428,"6848 6863",0,0.179058641,-17
"g1",16,429,"6864 6879",2,0.256437246,15
"g1",16,430,"6880 6895",0,0.191522169,39
"g1",16,431,"6896 6911",3,0.24989798300000002,-18
"g1",16,432,"6912 6927",14,0.5308014090000001,5
"g1",16,433,"6928 6943",3,0.266129183,4
"g1",16,434,"6944 6959",0,0.14696940900000002,22
"g1",16,435,"6960 6975",43,0.35688524899999996,-40
"g1",16,436,"6976 6991",8,0.26924377299999996,-8
"g1",16,437,"6992 7007",1,0.26067816699999996,25
"g1",16,438,"7008 7023",10,0.35705088999999995,-5
"g1",16,439,"7024 7039",4,0.38923493400000003,0
"g1",16,440,"7040 7055",11,0.6946100310000001,-5
"g1",16,441,"7056 7071",15,0.371667682,-5
"g1",16,442,"7072 7087",3,0.26789811300000005,20
"g1",16,443,"7088 7103",0,0.19354697899999998,23
"g1",16,444,"7104 7119",2,0.27247019,30
"g1",16,445,"7120 7135",6,0.250635044,23
"g1",16,446,"7136 7151",5,0.269592186,-16
"g1",16,447,"7152 7167",4,0.38782109600000003,38
"g1",16,448,"7168 7183",21,0.499425305,20
"g1",16,449,"7184 7199",3,0.324927754,19
"g1",16,450,"7200 7215",20,0.561087578,15
"g1",16,451,"7216 7231",6,0.279929908,-13
"g1",16,452,"7232 7247",9,0.40605079899999996,29
"g1",16,453,"7248 7263",13,0.552681568,6
"g1",16,454,"7264 7279",78,0.853015207,12
