"grammar","algo","chunk_size","chunk_id","chunk_time"
"geo","SingleSourceAlgoOpt",32,19,0.00043892860412597656
"geo","SingleSourceAlgoOpt",32,20,0.00042247772216796875
"geo","SingleSourceAlgoOpt",32,21,0.00042366981506347656
"geo","SingleSourceAlgoOpt",32,22,0.00042700767517089844
"geo","SingleSourceAlgoOpt",32,23,0.00040721893310546875
"geo","SingleSourceAlgoOpt",32,24,0.0004036426544189453
"geo","SingleSourceAlgoOpt",32,25,0.0003998279571533203
"geo","SingleSourceAlgoOpt",32,26,0.0004000663757324219
"geo","SingleSourceAlgoOpt",32,27,0.000400543212890625
"geo","SingleSourceAlgoOpt",32,28,0.00040078163146972656
"geo","SingleSourceAlgoOpt",32,29,0.0004134178161621094
"geo","SingleSourceAlgoOpt",32,30,0.0004010200500488281
"geo","SingleSourceAlgoOpt",32,31,0.0004265308380126953
"geo","SingleSourceAlgoOpt",32,32,0.0004057884216308594
"geo","SingleSourceAlgoOpt",32,33,0.00040268898010253906
"geo","SingleSourceAlgoOpt",32,34,0.00045418739318847656
"geo","SingleSourceAlgoOpt",32,35,0.0007765293121337891
"geo","SingleSourceAlgoOpt",32,36,0.0004298686981201172
"geo","SingleSourceAlgoOpt",32,37,0.0004143714904785156
"geo","SingleSourceAlgoOpt",32,38,0.00043582916259765625
"geo","SingleSourceAlgoOpt",32,39,0.0004096031188964844
"geo","SingleSourceAlgoOpt",32,40,0.00042629241943359375
"geo","SingleSourceAlgoOpt",32,41,0.00025177001953125
"geo","SingleSourceAlgoOpt",64,0,0.0007987022399902344
"geo","SingleSourceAlgoOpt",64,1,0.0007696151733398438
"geo","SingleSourceAlgoOpt",64,2,0.0007145404815673828
"geo","SingleSourceAlgoOpt",64,3,0.0006988048553466797
"geo","SingleSourceAlgoOpt",64,4,0.0007328987121582031
"geo","SingleSourceAlgoOpt",64,5,0.0006990432739257812
"geo","SingleSourceAlgoOpt",64,6,0.0006971359252929688
"geo","SingleSourceAlgoOpt",64,7,0.0007114410400390625
"geo","SingleSourceAlgoOpt",64,8,0.0006954669952392578
"geo","SingleSourceAlgoOpt",64,9,0.0006906986236572266
