,graph,grammar,chunk_size,SingleSourceAlgoBruteTime,SingleSourceAlgoOptTime,SingleSourceAlgoBruteStdDev,SingleSourceAlgoOptStdDev
150,pathways,g2,500,0.156982969987439,0.3629162729921518,0,0
151,pathways,g2,1000,0.13895784300984815,0.3377260879933601,0,0
152,pathways,g2,5000,0.08841704900260082,0.2287541020050412,0,0
153,pathways,g2,100000,0.04614655899058562,0.12197220099915285,0,0
154,pathways,geo,100,0.033832834000349976,0.062114508997183286,0,0
155,pathways,geo,500,0.02206834100070409,0.05536378899705596,0,0
156,pathways,geo,1000,0.021291516997735016,0.054767178997281014,0,0
157,pathways,geo,5000,0.01972697900782805,0.05351126300229225,0,0
158,pathways,geo,100000,0.01907396299066022,0.054399266999098465,0,0
159,people_pets,g1,100,0.013225756993051618,0.02193631599948276,0,0
160,people_pets,g1,100000,0.005252114002360031,0.010725520012783818,0,0
161,people_pets,g2,100,0.005832458002259955,0.008617521001724526,0,0
162,people_pets,g2,100000,0.0030975650006439537,0.006049648000043817,0,0
163,people_pets,geo,100,0.00240389299870003,0.0040658539946889505,0,0
164,people_pets,geo,100000,0.001746670008287765,0.003641803996288217,0,0
165,pizza,g1,100,0.03677826300554443,0.0655423099960899,0,0
166,pizza,g1,500,0.015911669994238764,0.03398743701109197,0,0
167,pizza,g1,100000,0.00997894299507607,0.02268705700407736,0,0
168,pizza,g2,100,0.023331395990680903,0.04017442800977733,0,0
169,pizza,g2,500,0.007719645000179298,0.015545827001915313,0,0
170,pizza,g2,100000,0.0056362570030614725,0.01266709400806576,0,0
171,pizza,geo,100,0.0042045269947266215,0.007295079994946719,0,0
172,pizza,geo,500,0.002898596998420544,0.007196170990937389,0,0
173,pizza,geo,100000,0.002701347999391146,0.006381836996297352,0,0
174,skos,g1,100,0.0035415349993854757,0.004757749993586914,0,0
175,skos,g1,100000,0.0021747839928139,0.003445046997512691,0,0
176,skos,g2,100,0.0018006690079346301,0.002391121000982821,0,0
177,skos,g2,100000,0.0014447790017584339,0.002152857996406965,0,0
178,skos,geo,100,0.0015929539949866012,0.002618041995447129,0,0
179,skos,geo,100000,0.0011321810015942901,0.0019516210013534876,0,0
180,travel,g1,100,0.00637259500217624,0.009319441000116058,0,0
181,travel,g1,100000,0.003493429001537152,0.00580004500807263,0,0
182,travel,g2,100,0.0029634050006279718,0.003896469992469065,0,0
183,travel,g2,100000,0.002099357996485196,0.003350735001731664,0,0
184,travel,geo,100,0.0013556329940911382,0.0019816530111711472,0,0
185,travel,geo,100000,0.0011230280069867151,0.001848614003392868,0,0
186,univ-bench,g1,100,0.007827766996342689,0.012098795006750152,0,0
187,univ-bench,g1,100000,0.0037148429983062674,0.006602472989470698,0,0
188,univ-bench,g2,100,0.003998323998530395,0.0059633130003931,0,0
189,univ-bench,g2,100000,0.0021827340096933767,0.0037843600002815947,0,0
190,univ-bench,geo,100,0.001466125002480112,0.0023814239975763485,0,0
191,univ-bench,geo,100000,0.0013330380024854096,0.0023185390018625185,0,0
192,wine,g1,100,0.03736094100167975,0.06512469198787585,0,0
193,wine,g1,500,0.018513777002226558,0.041112175997113816,0,0
194,wine,g1,100000,0.01055372500559315,0.02352728100959212,0,0
195,wine,g2,100,0.014368418007506987,0.022110788006102663,0,0
196,wine,g2,500,0.006546774005983025,0.0129721220000647,0,0
197,wine,g2,100000,0.0053491389990085745,0.012135120006860234,0,0
198,wine,geo,100,0.004533605009783059,0.008013461003429256,0,0
199,wine,geo,500,0.003082866998738609,0.007093053005519323,0,0
200,wine,geo,100000,0.002953418006654829,0.0069643239985452965,0,0
